"","YPH","Tmin","Tmax","RH830","RH1430","RF","Rday","S","Sday","W","S830","S1430","Sm","ETo","clud"
"1",2996,14.2,21.5,87,68,1629,103,8.27,293,1.81,13.04,13.12,0.756,89.71,2.7
"2",3181,17.4,26.5,87,68,1629,103,8.23,293,1.81,15.48,15.57,0.775,104.42,2.17
"3",3047,17.1,26.9,91,65,2019,90,7.89,276,1.85,15.46,15.53,0.78,102.44,2.28
"4",2895,15.3,28.1,99,59,2670,114,7.34,254,1.9,13.93,13.98,0.802,98.39,1.61
"5",2780,14.3,28.5,100,57,1735,109,8.14,285,1.84,12.95,12.99,0.782,104.78,1.69
"6",2888,13.4,29.9,98,48,1886,98,8.01,281,1.72,12.1,12.13,0.751,113.35,1.39
"7",2904,12.8,30.3,97,80,1376,122,8.45,299,2.05,11.72,11.8,0.846,121.14,1.34
"8",2986,13.3,28.8,59,95,1834,114,8.06,285,1.8,11.5,11.67,0.803,130.5,1.85
"9",2838,14.1,30.9,76,54,2060,113,7.85,276,1.55,12.27,12.35,0.67,125.09,1.78
"10",2838,12.8,32.7,50,91,1882,115,8,283,1.67,11.2,11.36,0.692,145.5,1.18
"11",2838,17.1,28.1,64,79,2285,110,7.66,269,1.71,14.94,15.08,0.719,123.56,2.27
"12",2760,14,25.3,81,64,3207,104,6.99,248,1.78,12.05,12.14,0.735,104.62,1.96
"13",3059,14.7,26.4,89,65,2068,117,7.87,277,1.82,12.78,12.85,0.764,101.38,1.76
"14",3157,14,25.7,88,76,3094,112,7,235,1.98,11.81,11.91,0.822,98.58,1.93
"15",2905,13.6,26.7,89,74,2006,103,7.92,279,1.92,12.09,12.19,0.817,102.47,1.72
"16",3111,14.1,25.9,90,78,2295,118,7.68,263,1.99,12.16,12.27,0.845,100.58,1.81
"17",3255,14.9,25.5,89,76,2220,119,7.74,266,1.96,12.75,12.85,0.816,95.06,2.03
"18",2807,15.2,26.2,92,81,2386,127,7.6,261,2.05,13.36,13.47,0.876,99.52,1.91
"19",2775,14.3,25.4,93,80,2348,138,7.64,264,2.05,12.66,12.76,0.855,100.25,1.94
"20",2983,14.5,25.8,90,72,2035,133,7.9,277,1.9,13.05,13.15,0.84,103.55,1.77
"21",2955,15.1,26.4,92,74,2074,124,7.86,273,1.96,13.21,13.3,0.832,102.24,1.87
"22",2793,14.6,26.6,90,71,1915,120,8,282,1.89,13.18,13.26,0.797,108.13,1.81
"23",2593,14.5,26.9,92,75,1436,113,8.4,300,1.94,13.47,13.57,0.847,107.65,1.65
"24",2645,13.8,26.5,72,91,2098,137,7.85,274,1.93,12.23,12.37,0.813,115.44,1.68
"25",2754,14.5,26.2,91,73,2741,146,7.3,254,1.98,12.12,12.22,0.831,100.45,1.92
"26",2797,14.4,26.8,92,65,2274,61,7.69,268,1.86,12.57,12.66,0.806,101.32,1.84
"27",2722,14,26.6,92,71,2714,126,7.32,252,1.95,11.91,11.98,0.789,100.9,1.9
"28",2909,13.9,26.7,92,74,2144,124,7.81,272,1.96,12.22,12.32,0.844,101.67,1.64
"29",2813,14.5,26.8,92,72,2815,115,7.62,270,1.97,12,12.08,0.818,102.26,1.8
"30",2998,14.9,26.7,93,76,2108,135,7.83,271,1.99,13.24,13.34,0.848,97.52,1.88
"31",2893,14.1,26.5,92,72,2354,140,7.63,266,1.96,12.44,12.53,0.831,99.65,1.75
"32",2848,14,27.3,93,70,1667,101,8.21,289,1.9,12.78,12.86,0.826,105.29,1.54
"33",2695,14.5,26.5,91,71,2740,127,7.3,255,1.94,12.33,12.42,0.816,99.42,1.97
"34",2649,15,27,90,73,2344,113,7.63,268,1.94,12.84,12.92,0.798,101.86,1.66
"35",2786,15.3,27,92,71,1986,123,7.93,278,1.92,13.47,13.56,0.828,99.89,1.76
