YPH,Tmax,Tmin,RH830,RH1430,S,WS,RF,Rday,Sday,S830,S1430,Sm,n,Rs,Rnl,Rn,ETo,clud
1685.5,24.08333333,15.26666667,83.91666667,75.5,5.1,0.146076389,5153,185,287,21.67550583,21.89318083,0.751058333,4.85,15.93166667,2.461666667,9.805833333,106.2486387,2.549640849
1749.4,23.90833333,14.39166667,77.5,68.33333333,5.908333333,0.149895833,2786,162,315,21.34998833,21.54403833,0.709886111,5.3225,16.66666667,2.884166667,9.950833333,118.8834972,2.322985499
2045.6,26.475,17.59166667,80.08333333,75,5.5275,0.171458333,3513,164,295,23.53914,23.86294,0.740638889,4.961666667,16.1475,2.421666667,10.0125,123.8294255,2.4093024
2121.8,25.43583333,17.62,81.825,77.805,4.641666667,0.165555556,3975,189,282,23.00809121,23.30914746,0.770540278,4.349166667,15.165,2.1,9.576666667,111.4330592,2.367416064
2055,26.54083333,17.78583333,74.73916667,77.86083333,4.691666667,0.17125,3859.8,193,273,23.62536933,23.95501933,0.731353056,4.9375,16.0875,2.293333333,10.0925,130.2923157,2.307746212
2218.7,27.16833333,18.36083333,82.63666667,79.62666667,5.655833333,0.178055556,3356.5,148,311,24.10493521,24.46164146,0.780313333,5.056666667,16.2275,2.240833333,10.255,123.0546853,2.265431864
2488.1,28.72416667,18.56,78.325,74.06666667,6.244166667,0.186319444,3084.8,163,328,24.96484779,25.36104154,0.732178889,5.889166667,17.54,2.6625,10.84083333,141.6762007,2.053954209
2566,27.86833333,19.0125,95.39416667,70.5075,5.554166667,0.1815625,3975.33,178,297,24.64265496,25.02977371,0.794595583,5.010833333,16.19,2.246666667,10.22083333,101.7423122,2.465469157
2578.2,25.96666667,16.1575,85.2325,80.77833333,5.859166667,0.166180556,2675.8,160,293,22.89078679,23.17088054,0.818056111,5.370833333,16.76916667,2.481666667,10.43083333,116.8827141,2.361012493
2882.9,24.50166667,15.7325,82.66083333,74.6375,6.214166667,0.156736111,3134.8,172,288,22.01735529,22.25492404,0.757926945,4.8125,15.84333333,2.438333333,9.761666667,114.885408,2.406242982
2887,23.7325,15.77833333,87.38083333,74.47166667,5.990833333,0.151631944,3747.1,158,292,21.63095713,21.85225088,0.7863875,4.355,15.19166667,2.261666667,9.438333333,103.3096979,2.60606525
2666.2,26.21583333,16.42416667,93.88333333,61.15833333,5.136666667,0.160451389,4968.4,177,234,23.09150233,23.38320233,0.724584722,5.526666667,16.9825,2.739166667,10.3375,101.1493584,2.292547464
2790.9,24.74166667,16.14166667,97.71666667,64.375,5.2625,0.1559375,4146.8,210,300,22.25155917,22.50373417,0.770415556,4.8325,15.95833333,2.465833333,9.823333333,88.23287304,2.424435055
2855.3,23.81666667,14.79166667,97.33333333,64.025,4.9825,0.143888889,4901.5,188,285,21.40981292,21.61080042,0.767810278,5.120833333,16.36583333,2.664166667,9.939166667,85.56923016,2.2561326
2827.4,24.35,14.925,96.25833333,66.04166667,4.941666667,0.150416667,3807.9,138,289,21.72204625,21.93803375,0.779016945,5.373333333,16.74416667,2.7225,10.17,87.7337024,2.237462041
2901.5,24.8325,15.56666667,91.67864823,66.24815668,5.125,0.157256944,3195.3,142,282,22.14434138,22.38562263,0.762642161,5.235,16.54,2.679166667,10.05833333,98.58320646,2.436177643
3109.3,25.05,15.2,87.2,73.33333333,5.1125,0.155729167,3442.1,173,300,22.1586875,22.3966125,0.770375475,5.5725,17.0175,2.713333333,10.39,105.25094,2.193222247
3080.3,25.15,16.05833333,86.73333333,74.71666667,4.818333333,0.158229167,3883.6,161,280,22.44085625,22.70034375,0.774493333,5.243333333,16.57583333,2.54,10.22666667,103.9411951,2.35977346
2997.4,24.79166667,14.65833333,87.58333333,77.23333333,5.078333333,0.154375,2859.8,149,294,21.87942417,22.09934917,0.801775556,5.819166667,17.39666667,2.765833333,10.63,102.8090406,2.198300315
2803.4,25.4,14.93333333,89.65833333,78.275,5.36,0.155451389,3649.5,142,300,22.26855,22.50835,0.810444167,6.169166667,17.91,2.781666667,11.01083333,104.2655426,1.905642014
2813.5,25.25833333,15.01666667,90.175,77.99166667,4.65,0.154131944,3942.1,158,301,22.21747958,22.45596708,0.808108611,5.995833333,17.67333333,2.735,10.8725,99.2246141,2.082817722
2901.6,25.66666667,15.24166667,88.94166667,75.71666667,5.275833333,0.161180556,2663.65,123,308,22.48951792,22.74225542,0.801158472,5.988333333,17.67833333,2.786666667,10.82333333,106.3898923,2.156099349
2647.6,25.875,15.14166667,88.58333333,77.16666667,5.374166667,0.160833333,2915.7,142,315,22.5706725,22.8258475,0.805198056,6.271666667,18.06166667,2.833333333,11.07416667,107.9491028,1.996479331
2665,26.05833333,15.28333333,89.16666667,71.75,5.219166667,0.148368056,6883.1,156,296,22.70371958,22.96620708,0.748469167,6.168333333,17.9025,2.94,10.84583333,108.1090561,2.119418815
2697.9,25.30833333,15.88333333,89.25,76.66666667,4.725,0.155555556,4636.4,167,282,22.47596708,22.73507958,0.79047,5.438333333,16.85,2.555,10.42,100.3331356,2.374269091
2542.9,25.36666667,14.95833333,88.33333333,75.08333333,4.388333333,0.1546875,3829.3,157,289,22.25798042,22.49759292,0.786823611,6.06,17.74083333,2.869166667,10.79166667,100.9659343,2.082634757
2834.7,26.09166667,15.38333333,86.83333333,72.91666667,4.5275,0.157326389,4470.6,143,266,22.74783292,23.01332042,0.76192,6.173333333,17.91333333,2.916666667,10.8775,107.7283945,2.074223714
2941.3,26.25833333,15.49166667,87.16666667,75.16666667,4.415,0.162326389,3352.3,140,289,22.86329583,23.13497083,0.781958611,6.3425,18.17416667,2.8875,11.10666667,106.303022,1.913327262
2933.4,26.76666667,16.70833333,87.5,74.5,4.683333333,0.167986111,3804.2,143,292,23.45328292,23.76377042,0.773677222,5.833333333,17.42916667,2.669166667,10.75166667,108.3645647,2.216723588
2748,26.925,14.93333333,91,80.91666667,3.920833333,0.162361111,3468.8,152,260,23.05903375,23.33314625,0.828241667,7.009166667,19.195,2.931666667,11.8475,103.4107213,1.751386941
